Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Unnamed: 115,Fullback Attacking AFB,Attacking Label,LDA1
D. Lembikisa,Barnsley,Barnsley,"RWB, RB, DMF",21.0,3000000,2026-06-30,6,203,0,0.01,0,0.19,23.94,64.81,England,"England, Jamaica",right,180,68,yes,10.64,8.87,85.0,3.99,55.56,0.44,0.75,0.0,2.66,4.5,0.0,0,0.0,0,0.0,5.76,0.0,0,0.0,0.0,0,0.0,1,0.44,0.0,0.0,0.0,6.21,35.71,0.44,0.0,5.76,38.46,0.0,3.55,100.0,5.76,61.54,1.33,0.89,0.0,27.49,2.22,0.89,42.56,60.42,19.51,40.91,7.54,94.12,11.08,72.0,26.6,73.33,10.2,43.48,23.02,44.33,0.08,0.89,0.0,0.0,0.0,0.0,0.44,10.2,39.13,4.88,36.36,0.44,0.0,0.0,1.77,12.41,50.0,0,,0,,0,0,0,0.0,,,0.44,,,0.0,0.0,0.0,0.0,0,0.0,,18.26,1,-2.2150536404605474
E. Laird,Birmingham City,Birmingham City,"RB, RWB",23.0,2500000,2028-06-30,26,2033,2,1.15,2,1.82,25.5,50.52,England,"England, Jamaica",right,177,70,no,7.3,5.89,60.15,5.71,61.24,0.35,0.68,0.13,3.41,6.56,1.95,4,0.18,0,0.0,3.76,0.09,2,0.09,0.05,0,0.0,14,0.62,42.86,14.286,0.09,2.88,40.0,0.09,50.0,2.79,39.68,0.27,4.87,47.27,10.4,43.83,2.74,3.32,0.35,31.48,2.04,2.17,40.6,80.15,13.81,70.19,9.03,97.06,11.16,81.75,34.97,87.22,2.88,33.85,18.45,28.72,0.08,0.75,0.04,0.09,0.04,100.0,0.22,4.78,61.11,2.88,50.77,0.4,11.11,1.06,0.93,7.39,76.05,0,,0,,0,0,0,0.0,,,1.42,,,0.0,0.0,0.0,0.0,0,0.0,,13.67,1,1.4265722448024278
R. Longman,Wrexham,Wrexham,"RW, RWB, RB",24.0,2000000,2025-06-30,11,615,0,0.22,1,2.13,23.71,49.38,England,England,right,180,68,no,7.17,6.88,70.21,2.2,46.67,0.0,0.0,0.15,2.34,3.2,0.73,0,0.0,0,0.0,6.29,0.0,0,0.0,0.03,0,0.0,5,0.73,0.0,0.0,0.15,7.02,41.67,2.2,60.0,4.68,31.25,1.02,6.88,48.94,11.12,39.47,1.76,2.63,1.02,19.76,1.32,0.59,33.07,69.03,7.61,53.85,8.49,89.66,11.41,62.82,22.83,82.05,3.51,33.33,21.33,37.41,0.31,1.61,0.0,0.0,0.0,0.0,1.02,3.07,52.38,6.44,54.55,0.73,60.0,1.46,3.22,8.2,71.43,0,,0,,0,0,0,0.0,,,0.15,,,0.0,0.0,0.0,0.0,0,0.0,,17.58,1,3.1181620931886402
S. Wright,Birmingham City,Birmingham City,"RAMF, LWB",27.0,1200000,2027-06-30,13,511,1,1.18,0,0.84,19.2,39.45,Scotland,Scotland,right,176,65,no,4.58,3.7,71.43,3.52,40.0,0.35,0.69,0.0,1.59,3.1,0.53,0,0.0,0,0.0,3.17,0.18,1,0.18,0.21,0,0.0,12,2.11,16.67,8.333,0.0,3.87,22.73,1.06,33.33,2.82,18.75,0.0,4.23,45.83,9.69,32.73,2.82,2.47,1.76,25.19,2.29,1.41,33.82,71.35,8.81,62.0,8.1,84.78,8.63,71.43,28.53,79.63,1.59,33.33,15.92,15.95,0.15,1.76,0.0,0.0,0.53,0.0,0.35,3.17,61.11,4.23,58.33,0.35,0.0,1.76,0.88,6.16,68.57,0,,0,,0,0,0,0.0,,,0.18,,,0.18,0.0,0.0,0.18,0,0.0,,13.010000000000002,1,2.3954333162716357
L. Sørensen,Huddersfield Town,Huddersfield Town,"RWB, RB",25.0,700000,2027-06-30,24,1757,0,0.54,2,1.05,19.41,49.08,Denmark,Denmark,right,185,78,no,6.97,5.89,62.61,4.56,44.94,0.05,0.08,0.2,3.23,4.87,0.67,2,0.1,0,0.0,3.07,0.0,0,0.0,0.03,0,0.0,8,0.41,25.0,0.0,0.1,4.66,23.08,0.0,0.0,4.66,23.08,0.56,2.97,58.62,6.1,42.02,1.08,1.69,0.2,26.74,2.2,0.72,38.01,68.6,12.86,54.18,6.76,94.7,12.24,71.97,28.12,81.79,5.28,37.86,20.67,36.87,0.05,0.82,0.0,0.05,0.26,60.0,0.36,6.61,48.84,4.82,36.17,0.51,20.0,0.72,1.13,9.22,73.89,0,,0,,0,0,0,0.0,,,0.97,,,0.0,0.0,0.0,0.0,0,0.0,,15.780000000000001,1,0.9672524901084437
T. Small,Charlton Athletic,Charlton Athletic,"LWB, RAMF, RW",20.0,600000,2025-06-30,33,2569,2,2.3,0,3.42,18.74,43.18,England,"England, Panama",left,177,68,no,4.62,3.5,63.0,1.65,34.04,0.18,0.25,0.04,2.24,3.24,0.84,4,0.14,0,0.0,6.06,0.07,2,0.07,0.08,0,0.0,33,1.16,30.3,6.061,0.0,5.75,35.37,2.66,35.53,3.05,35.63,0.77,6.83,53.85,11.77,38.39,2.0,3.5,0.42,12.89,0.98,0.49,22.84,64.11,6.06,53.18,5.54,89.87,7.46,63.85,14.54,78.8,2.84,46.91,24.25,31.7,0.12,0.84,0.04,0.04,0.07,0.0,0.28,2.17,53.23,4.03,44.35,0.04,0.0,0.28,2.0,5.25,71.33,0,,0,,0,0,0,0.0,,,0.14,,,0.04,0.0,0.0,0.11,0,0.0,,12.9,1,1.4167598618085977
J. Dacres-Cogley,Bolton Wanderers,Bolton Wanderers,"RWB, RCB, RB",29.0,500000,2025-06-30,34,2721,0,0.06,3,1.73,20.67,51.66,England,England,right,174,68,no,9.72,8.73,60.78,3.39,43.43,0.21,0.31,0.07,4.21,6.31,1.85,5,0.17,0,0.0,2.26,0.0,0,0.0,0.0,0,0.0,4,0.14,0.0,0.0,0.1,2.43,42.25,0.21,50.0,2.22,41.54,0.27,1.98,60.34,5.61,49.39,1.3,1.68,0.31,28.03,2.02,1.33,40.69,77.21,15.47,63.94,6.33,94.05,12.05,85.51,33.71,84.67,4.69,40.88,18.93,36.72,0.06,0.62,0.03,0.07,0.07,50.0,0.34,5.34,60.9,2.84,59.04,0.41,41.67,0.96,0.99,8.79,71.6,0,,0,,0,0,0,0.0,,,0.99,,,0.0,0.0,0.0,0.14,0,0.0,,13.37,1,-0.019028404633333447
E. Galbraith,Leyton Orient,Leyton Orient,"RB, AMF",23.0,500000,2025-06-30,34,3178,5,2.26,4,3.63,16.88,46.14,Northern Ireland,Northern Ireland,right,175,67,no,6.94,6.12,59.26,2.75,41.24,0.28,0.41,0.08,3.03,4.43,1.05,6,0.17,0,0.0,1.78,0.14,5,0.14,0.06,0,0.0,25,0.71,36.0,20.0,0.11,1.16,36.59,0.28,60.0,0.88,29.03,0.14,1.78,60.32,5.04,44.38,0.85,1.9,0.34,26.85,0.93,0.91,41.26,77.9,16.45,61.96,6.77,95.4,11.61,87.8,33.67,86.63,6.51,40.0,18.76,33.58,0.1,0.91,0.03,0.08,0.11,25.0,0.42,7.96,59.43,2.38,50.0,0.65,17.39,0.91,0.37,7.59,76.49,0,,0,,0,0,0,0.0,,,0.57,,,0.28,0.03,100.0,1.13,0,0.0,,11.97,1,0.1468486712270148
J. Osei-Tutu,Bolton Wanderers,Bolton Wanderers,"LWB, RWB, LW",26.0,500000,2026-06-30,26,1333,1,1.3,1,2.78,24.51,52.07,England,"England, Ghana",right,176,70,no,8.57,6.08,75.56,2.03,16.67,0.61,1.12,0.07,3.38,6.22,0.68,7,0.47,0,0.0,5.67,0.07,1,0.07,0.09,1,0.07,16,1.08,56.25,6.25,0.07,2.77,36.59,1.76,42.31,0.95,28.57,0.27,5.87,68.97,13.91,50.0,3.31,4.05,0.95,20.46,1.22,2.97,28.22,81.1,6.68,69.7,8.64,96.09,7.56,81.25,24.24,87.74,1.49,50.0,17.39,21.15,0.19,1.28,0.07,0.0,0.0,0.0,0.61,1.49,72.73,2.3,52.94,0.14,50.0,1.22,0.81,4.46,78.79,0,,0,,0,0,0,0.0,,,0.74,,,0.07,0.0,0.0,0.0,0,0.0,,11.0,0,0.4978419927907859
L. Thomas,Bristol Rovers,Bristol Rovers,"RAMF, RWB, LWB",26.0,500000,2026-06-30,29,1839,2,1.81,4,2.65,18.94,47.8,England,England,left,171,67,no,8.27,7.83,68.75,1.71,37.14,0.49,0.69,0.2,2.4,3.39,0.73,5,0.24,0,0.0,2.15,0.1,2,0.1,0.09,1,0.05,13,0.64,23.08,15.385,0.2,1.96,35.0,0.93,26.32,0.93,47.37,0.39,1.86,65.79,6.85,35.71,1.52,1.08,0.1,16.44,1.13,0.93,24.96,74.9,6.51,60.15,6.7,90.51,7.34,72.67,21.09,80.97,1.91,48.72,17.93,24.28,0.13,0.93,0.0,0.05,0.2,50.0,0.64,2.89,50.85,2.45,48.0,0.24,60.0,0.69,0.73,4.31,64.77,0,,0,,0,0,0,0.0,,,0.29,,,0.34,0.0,0.0,0.73,0,0.0,,7.97,0,-0.9872154397188098
