Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Efficiency,Minutes played,Successful attacking actions per 90,Non-penalty goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Classification
M. Pinnock,Northampton Town,Northampton Town,"LWB, RAMF",30,300000,2025-06-30,38,3540,2,1.99,1.005025126,3540,2.19,0.05,0.92,33.33,5.556,1
T. Darikwa,Lincoln City,Lincoln City,"RWB, RB",33,350000,2025-06-30,36,3402,5,2.63,1.901140684,3402,1.64,0.13,0.63,37.5,20.833,1
D. Keillor-Dunn,Barnsley,Barnsley,"CF, AMF",27,750000,2027-06-30,37,3283,13,10.97,1.185050137,3283,2.28,0.36,2.25,40.24,15.854,1
J. McMillan,Exeter City,Exeter City,"RWB, RB, RCMF",27,350000,2026-06-30,34,3250,1,1.32,0.757575758,3250,0.37,0.03,0.29,20,10,0
E. Galbraith,Leyton Orient,Leyton Orient,"RB, AMF",23,500000,2025-06-30,34,3178,5,2.26,2.212389381,3178,1.78,0.14,0.71,36,20,1
C. McGeehan,Northampton Town,Northampton Town,"AMF, RWF, LCMF",29,375000,2026-06-30,32,3084,9,5.90,1.525423729,3084,1.11,0.26,1.2,48.78,21.951,1
C. O'Keeffe,Barnsley,Barnsley,"RWB, RB",26,300000,2027-06-30,35,3038,0,0.55,0,3038,2.81,0,0.36,25,0,0
B. Wiles,Huddersfield Town,Huddersfield Town,"RCMF, LCMF, AMF",25,2200000,2026-06-30,36,3014,7,5.45,1.28440367,3014,2.27,0.21,1.82,32.79,11.475,1
U. Godwin-Malife,Burton Albion,Burton Albion,"RWB, RB, RCB",24,325000,2027-06-30,33,2978,1,1.12,0.892857143,2978,2.45,0.03,0.36,41.67,8.333,0
J. Roberts,Stevenage,Stevenage,"RAMF, LAMF",31,300000,,34,2973,4,4.54,0.881057269,2973,2.09,0.12,1.18,30.77,10.256,0
M. Mothersille,Peterborough United,Peterborough United,"LAMF, CF, AMF",21,250000,2025-06-30,37,2968,11,12.21,0.900900901,2968,3.67,0.18,1.82,55,18.333,0
T. Campbell,Charlton Athletic,Charlton Athletic,"CF, LAMF, RWB",21,0,2026-06-30,37,2963,3,4.49,0.668151448,2963,5.07,0.09,1.4,34.78,6.522,0
